,"SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,DATE"
26,"2DJX,P,12 20 2024,00264 120,1.0306,1700,04/01/2024"
27,"2DJX,C,12 20 2024,00265 310,137.2402,1614,04/01/2024"
28,"2DJX,P,12 20 2024,00265 310,1.0572,1614,04/01/2024"
29,"2DJX,C,12 20 2024,00265 890,136.6944,893,04/01/2024"
30,"2DJX,P,12 20 2024,00265 890,1.0702,893,04/01/2024"
31,"2DJX,C,12 20 2024,00266 520,136.1014,579,04/01/2024"
32,"2DJX,P,12 20 2024,00266 520,1.0844,579,04/01/2024"
33,"2DJX,C,12 20 2024,00268 000,134.7085,1062,04/01/2024"
34,"2DJX,P,12 20 2024,00268 000,1.1176,1062,04/01/2024"
35,"2DJX,C,12 20 2024,00270 260,132.5815,1100,04/01/2024"
36,"2DJX,P,12 20 2024,00270 260,1.1683,1100,04/01/2024"
37,"2DJX,C,12 20 2024,00270 910,131.9697,2113,04/01/2024"
38,"2DJX,P,12 20 2024,00270 910,1.1828,2113,04/01/2024"
39,"2DJX,C,12 20 2024,00271 050,131.838,1233,04/01/2024"
40,"2DJX,P,12 20 2024,00271 050,1.186,1233,04/01/2024"
41,"2DJX,C,12 20 2024,00271 080,131.8097,528,04/01/2024"
42,"2DJX,P,12 20 2024,00271 080,1.1867,528,04/01/2024"
43,"2DJX,C,12 20 2024,00271 750,131.1792,1078,04/01/2024"
44,"2DJX,P,12 20 2024,00271 750,1.2017,1078,04/01/2024"
45,"2DJX,C,12 20 2024,00273 520,129.5134,715,04/01/2024"
46,"2DJX,P,12 20 2024,00273 520,1.2415,715,04/01/2024"
47,"2DJX,C,12 20 2024,00276 520,126.69,1721,04/01/2024"
48,"2DJX,P,12 20 2024,00276 520,1.3089,1721,04/01/2024"
49,"2DJX,C,12 20 2024,00280 540,122.9067,1738,04/01/2024"
50,"2DJX,P,12 20 2024,00280 540,1.3992,1738,04/01/2024"
51,"2DJX,C,12 20 2024,00287 310,116.5354,1334,04/01/2024"
52,"2DJX,P,12 20 2024,00287 310,1.5514,1334,04/01/2024"
53,"2DJX,C,12 20 2024,00288 670,115.2555,678,04/01/2024"
54,"2DJX,P,12 20 2024,00288 670,1.5821,678,04/01/2024"
55,"2DJX,C,12 20 2024,00291 000,113.0631,1322,04/01/2024"
56,"2DJX,P,12 20 2024,00291 000,1.6348,1322,04/01/2024"
57,"2DJX,P,12 20 2024,00301 000,1.8628,950,04/01/2024"
58,"2DJX,C,12 20 2024,00309 840,95.3611,3408,04/01/2024"
59,"2DJX,P,12 20 2024,00309 840,2.0869,3408,04/01/2024"
60,"2DJX,C,12 20 2024,00326 810,79.79,3080,04/01/2024"
61,"2DJX,P,12 20 2024,00326 810,2.8681,3080,04/01/2024"
62,"2DJX,P,12 20 2024,00330 010,3.0164,900,04/01/2024"
63,"2DJX,C,12 20 2024,00330 670,76.2494,885,04/01/2024"
64,"2DJX,P,12 20 2024,00330 670,3.0469,885,04/01/2024"
65,"2DJX,C,12 20 2024,00333 870,73.3142,729,04/01/2024"
66,"2DJX,P,12 20 2024,00333 870,3.1952,729,04/01/2024"
67,"2DJX,C,12 20 2024,00336 280,71.1316,868,04/01/2024"
68,"2DJX,P,12 20 2024,00336 280,3.3349,868,04/01/2024"
69,"2DJX,C,12 20 2024,00336 400,71.0242,2032,04/01/2024"
70,"2DJX,P,12 20 2024,00336 400,3.3432,2032,04/01/2024"
71,"2DJX,C,12 20 2024,00338 520,69.1301,1010,04/01/2024"
72,"2DJX,P,12 20 2024,00338 520,3.4918,1010,04/01/2024"
73,"2DJX,C,12 20 2024,00338 660,69.0052,575,04/01/2024"
74,"2DJX,P,12 20 2024,00338 660,3.5018,575,04/01/2024"
75,"2DJX,C,12 20 2024,00341 460,66.5193,2306,04/01/2024"
76,"2DJX,P,12 20 2024,00341 460,3.714,2306,04/01/2024"
77,"2DJX,C,12 20 2024,00344 660,63.6955,733,04/01/2024"
78,"2DJX,P,12 20 2024,00344 660,3.9737,733,04/01/2024"
79,"2DJX,C,12 20 2024,00345 610,62.8571,1824,04/01/2024"
80,"2DJX,P,12 20 2024,00345 610,4.0508,1824,04/01/2024"
81,"2DJX,C,12 20 2024,00346 520,62.0541,1499,04/01/2024"
82,"2DJX,P,12 20 2024,00346 520,4.1246,1499,04/01/2024"
83,"2DJX,C,12 20 2024,00347 160,61.4893,1512,04/01/2024"
84,"2DJX,P,12 20 2024,00347 160,4.1765,1512,04/01/2024"
85,"2DJX,C,12 20 2024,00347 610,61.0922,1537,04/01/2024"
86,"2DJX,P,12 20 2024,00347 610,4.2131,1537,04/01/2024"
87,"2DJX,C,12 20 2024,00347 700,61.0128,615,04/01/2024"
88,"2DJX,P,12 20 2024,00347 700,4.2204,615,04/01/2024"
89,"2DJX,C,12 20 2024,00348 050,60.704,306,04/01/2024"
90,"2DJX,P,12 20 2024,00348 050,4.2488,306,04/01/2024"
91,"2DJX,C,12 20 2024,00349 410,59.5038,763,04/01/2024"
92,"2DJX,P,12 20 2024,00349 410,4.3591,763,04/01/2024"
93,"2DJX,C,12 20 2024,00349 790,59.1685,2131,04/01/2024"
94,"2DJX,P,12 20 2024,00349 790,4.39,2131,04/01/2024"
95,"2DJX,C,12 20 2024,00350 010,58.9744,1450,04/01/2024"
96,"2DJX,C,12 20 2024,00350 550,58.4979,1405,04/01/2024"
97,"2DJX,P,12 20 2024,00350 550,4.4516,1405,04/01/2024"
98,"2DJX,C,12 20 2024,00351 740,57.4477,4451,04/01/2024"
99,"2DJX,P,12 20 2024,00351 740,4.5482,4451,04/01/2024"
100,"2DJX,C,12 20 2024,00351 800,57.3948,7419,04/01/2024"
101,"2DJX,P,12 20 2024,00351 800,4.5531,7419,04/01/2024"
102,"2DJX,C,12 20 2024,00351 900,57.3065,1491,04/01/2024"
103,"2DJX,P,12 20 2024,00351 900,4.5612,1491,04/01/2024"
104,"2DJX,C,12 20 2024,00353 040,56.3006,5912,04/01/2024"
105,"2DJX,P,12 20 2024,00353 040,4.6537,5912,04/01/2024"
106,"2DJX,C,12 20 2024,00353 210,56.1505,5911,04/01/2024"
107,"2DJX,P,12 20 2024,00353 210,4.6675,5911,04/01/2024"
108,"2DJX,C,12 20 2024,00355 460,54.1712,2922,04/01/2024"
109,"2DJX,P,12 20 2024,00355 460,4.8563,2922,04/01/2024"
110,"2DJX,C,12 20 2024,00355 580,54.0662,1474,04/01/2024"
111,"2DJX,P,12 20 2024,00355 580,4.8669,1474,04/01/2024"
112,"2DJX,C,12 20 2024,00356 360,53.3844,1180,04/01/2024"
113,"2DJX,P,12 20 2024,00356 360,4.9367,1180,04/01/2024"
114,"2DJX,C,12 20 2024,00359 140,50.9621,2930,04/01/2024"
115,"2DJX,P,12 20 2024,00359 140,5.1931,2930,04/01/2024"
116,"2DJX,C,12 20 2024,00359 160,50.9447,3660,04/01/2024"
117,"2DJX,P,12 20 2024,00359 160,5.195,3660,04/01/2024"
118,"2DJX,C,12 20 2024,00369 260,42.472,855,04/01/2024"
119,"2DJX,P,12 20 2024,00369 260,6.4547,855,04/01/2024"
120,"2DJX,C,12 20 2024,00374 800,37.9021,2768,04/01/2024"
121,"2DJX,P,12 20 2024,00374 800,7.2231,2768,04/01/2024"
122,"2DJX,C,12 20 2024,00374 910,37.8121,2768,04/01/2024"
123,"2DJX,P,12 20 2024,00374 910,7.239,2768,04/01/2024"
124,"2DJX,C,12 20 2024,00375 040,37.7093,6229,04/01/2024"
125,"2DJX,P,12 20 2024,00375 040,7.2615,6229,04/01/2024"
126,"2DJX,C,12 20 2024,00380 850,33.5678,2719,04/01/2024"
127,"2DJX,P,12 20 2024,00380 850,8.7185,2719,04/01/2024"
128,"2DJX,C,12 20 2024,00383 340,31.7937,4838,04/01/2024"
129,"2DJX,P,12 20 2024,00383 340,9.3438,4838,04/01/2024"
130,"2DJX,C,12 20 2024,00385 640,30.1579,1342,04/01/2024"
131,"2DJX,P,12 20 2024,00385 640,9.9242,1342,04/01/2024"
132,"2DJX,C,12 20 2024,00394 630,23.9803,2600,04/01/2024"
133,"2DJX,P,12 20 2024,00394 630,12.4093,2600,04/01/2024"
134,"2DJX,C,12 20 2024,00396 790,22.5936,1297,04/01/2024"
135,"2DJX,P,12 20 2024,00396 790,13.104,1297,04/01/2024"
136,"2DJX,C,12 20 2024,00397 430,22.1895,1296,04/01/2024"
137,"2DJX,P,12 20 2024,00397 430,13.3165,1296,04/01/2024"
138,"2DJX,C,12 20 2024,00397 830,21.9384,517,04/01/2024"
139,"2DJX,P,12 20 2024,00397 830,13.4509,517,04/01/2024"
140,"2DJX,C,12 20 2024,00399 000,21.2105,1935,04/01/2024"
141,"2DJX,P,12 20 2024,00399 000,13.8505,1935,04/01/2024"
142,"2DJX,C,12 20 2024,00399 510,20.8964,3092,04/01/2024"
143,"2DJX,P,12 20 2024,00399 510,14.0278,3092,04/01/2024"
144,"2DJX,C,12 20 2024,00399 530,20.8842,5156,04/01/2024"
145,"2DJX,P,12 20 2024,00399 530,14.0348,5156,04/01/2024"
146,"2DJX,C,12 20 2024,00399 730,20.7615,4777,04/01/2024"
147,"2DJX,P,12 20 2024,00399 730,14.1049,4777,04/01/2024"
148,"2DJX,C,12 20 2024,00400 010,20.5905,1000,04/01/2024"
149,"2DJX,C,12 20 2024,00400 700,20.1804,4114,04/01/2024"
150,"2DJX,P,12 20 2024,00400 700,14.4585,4114,04/01/2024"
151,"2DJX,C,12 20 2024,00402 530,19.1109,512,04/01/2024"
152,"2DJX,P,12 20 2024,00402 530,15.1523,512,04/01/2024"
153,"2DJX,C,12 20 2024,00420 010,10.2451,825,04/01/2024"
154,"2DJX,C,01 17 2025,00400 000,22.3015,600,04/01/2024"
155,"2DJX,C,12 19 2025,00258 950,161.7067,4024,04/01/2024"
156,"2DJX,P,12 19 2025,00258 950,2.6987,4024,04/01/2024"
157,"2DJX,C,12 19 2025,00291 590,133.2279,983,04/01/2024"
158,"2DJX,P,12 19 2025,00291 590,4.3432,983,04/01/2024"
159,"2DJX,C,12 19 2025,00299 210,126.613,1285,04/01/2024"
160,"2DJX,P,12 19 2025,00299 210,4.7608,1285,04/01/2024"
161,"2DJX,P,12 19 2025,00310 010,5.5833,600,04/01/2024"
162,"2DJX,C,12 19 2025,00322 580,106.9541,822,04/01/2024"
163,"2DJX,P,12 19 2025,00322 580,6.6701,822,04/01/2024"
164,"2DJX,C,12 19 2025,00330 070,100.6964,596,04/01/2024"
165,"2DJX,P,12 19 2025,00330 070,7.3249,596,04/01/2024"
166,"2DJX,C,12 19 2025,00331 060,99.9069,592,04/01/2024"
167,"2DJX,P,12 19 2025,00331 060,7.4491,592,04/01/2024"
168,"2DJX,C,12 19 2025,00331 670,99.4222,614,04/01/2024"
169,"2DJX,P,12 19 2025,00331 670,7.5274,614,04/01/2024"
170,"2DJX,C,12 19 2025,00334 600,97.0941,587,04/01/2024"
171,"2DJX,P,12 19 2025,00334 600,7.9033,587,04/01/2024"
172,"2DJX,C,12 19 2025,00334 610,97.0862,587,04/01/2024"
173,"2DJX,P,12 19 2025,00334 610,7.9046,587,04/01/2024"
174,"2DJX,C,12 19 2025,00336 260,95.7751,3333,04/01/2024"
175,"2DJX,P,12 19 2025,00336 260,8.1163,3333,04/01/2024"
176,"2DJX,C,12 19 2025,00336 300,95.7433,291,04/01/2024"
177,"2DJX,P,12 19 2025,00336 300,8.1215,291,04/01/2024"
178,"2DJX,C,12 19 2025,00340 560,92.3584,1428,04/01/2024"
179,"2DJX,P,12 19 2025,00340 560,8.6681,1428,04/01/2024"
180,"2DJX,C,12 19 2025,00341 180,91.8658,1716,04/01/2024"
181,"2DJX,P,12 19 2025,00341 180,8.7477,1716,04/01/2024"
182,"2DJX,C,12 19 2025,00342 030,91.1904,1431,04/01/2024"
183,"2DJX,P,12 19 2025,00342 030,8.8567,1431,04/01/2024"
184,"2DJX,C,12 19 2025,00342 230,91.0315,576,04/01/2024"
185,"2DJX,P,12 19 2025,00342 230,8.8824,576,04/01/2024"
186,"2DJX,C,12 19 2025,00346 190,87.9349,1410,04/01/2024"
187,"2DJX,P,12 19 2025,00346 190,9.4406,1410,04/01/2024"
188,"2DJX,C,12 19 2025,00347 240,87.1442,1434,04/01/2024"
189,"2DJX,P,12 19 2025,00347 240,9.6188,1434,04/01/2024"
190,"2DJX,C,12 19 2025,00347 320,87.0841,1004,04/01/2024"
191,"2DJX,P,12 19 2025,00347 320,9.6325,1004,04/01/2024"
192,"2DJX,C,12 19 2025,00356 070,80.6605,1407,04/01/2024"
193,"2DJX,P,12 19 2025,00356 070,11.2844,1407,04/01/2024"
194,"2DJX,C,12 19 2025,00356 170,80.59,758,04/01/2024"
195,"2DJX,P,12 19 2025,00356 170,11.3061,758,04/01/2024"
196,"2DJX,C,12 19 2025,00356 610,80.2796,418,04/01/2024"
197,"2DJX,P,12 19 2025,00356 610,11.4018,418,04/01/2024"
198,"2DJX,C,12 19 2025,00358 970,78.6146,700,04/01/2024"
199,"2DJX,P,12 19 2025,00358 970,11.9148,700,04/01/2024"
200,"2DJX,C,12 19 2025,00359 500,78.2407,420,04/01/2024"
201,"2DJX,P,12 19 2025,00359 500,12.0301,420,04/01/2024"
202,"2DJX,C,12 19 2025,00360 320,77.6622,9620,04/01/2024"
203,"2DJX,P,12 19 2025,00360 320,12.2083,9620,04/01/2024"
204,"2DJX,C,12 19 2025,00362 300,76.2653,295,04/01/2024"
205,"2DJX,P,12 19 2025,00362 300,12.6388,295,04/01/2024"
206,"2DJX,C,12 19 2025,00362 640,76.0254,442,04/01/2024"
207,"2DJX,P,12 19 2025,00362 640,12.7127,442,04/01/2024"
208,"2DJX,C,12 19 2025,00362 760,75.9408,1184,04/01/2024"
209,"2DJX,P,12 19 2025,00362 760,12.7388,1184,04/01/2024"
210,"2DJX,C,12 19 2025,00363 110,75.6939,3670,04/01/2024"
211,"2DJX,P,12 19 2025,00363 110,12.8149,3670,04/01/2024"
212,"2DJX,C,12 19 2025,00363 240,75.6021,2936,04/01/2024"
213,"2DJX,P,12 19 2025,00363 240,12.8432,2936,04/01/2024"
214,"2DJX,C,12 19 2025,00363 910,75.1295,862,04/01/2024"
215,"2DJX,P,12 19 2025,00363 910,12.9888,862,04/01/2024"
216,"2DJX,C,12 19 2025,00365 360,74.1065,1327,04/01/2024"
217,"2DJX,P,12 19 2025,00365 360,13.3041,1327,04/01/2024"
218,"2DJX,C,12 19 2025,00365 420,74.0642,3408,04/01/2024"
219,"2DJX,P,12 19 2025,00365 420,13.3171,3408,04/01/2024"
220,"2DJX,C,12 19 2025,00367 190,72.8154,862,04/01/2024"
221,"2DJX,P,12 19 2025,00367 190,13.7019,862,04/01/2024"
222,"2DJX,C,12 19 2025,00368 310,72.0253,1764,04/01/2024"
223,"2DJX,P,12 19 2025,00368 310,13.9454,1764,04/01/2024"
224,"2DJX,C,12 19 2025,00369 840,70.9681,284,04/01/2024"
225,"2DJX,P,12 19 2025,00369 840,14.3002,284,04/01/2024"
226,"2DJX,C,12 19 2025,00370 000,70.8576,1250,04/01/2024"
227,"2DJX,C,12 19 2025,00370 150,70.754,853,04/01/2024"
228,"2DJX,P,12 19 2025,00370 150,14.3722,853,04/01/2024"
229,"2DJX,C,12 19 2025,00371 880,69.5592,717,04/01/2024"
230,"2DJX,P,12 19 2025,00371 880,14.7741,717,04/01/2024"
231,"2DJX,C,12 19 2025,00377 430,65.7263,1981,04/01/2024"
232,"2DJX,P,12 19 2025,00377 430,16.0633,1981,04/01/2024"
233,"2DJX,C,12 19 2025,00396 770,52.3699,1067,04/01/2024"
234,"2DJX,P,12 19 2025,00396 770,20.5557,1067,04/01/2024"
235,"2DJX,C,12 19 2025,00405 190,46.5549,1302,04/01/2024"
236,"2DJX,P,12 19 2025,00405 190,22.5115,1302,04/01/2024"
237,"2DJX,C,12 19 2025,00405 270,46.4996,1302,04/01/2024"
238,"2DJX,P,12 19 2025,00405 270,22.5301,1302,04/01/2024"
239,"2DJX,C,12 19 2025,00408 100,44.5452,1942,04/01/2024"
240,"2DJX,P,12 19 2025,00408 100,23.1874,1942,04/01/2024"
241,"2DJX,C,12 19 2025,00408 930,43.972,4909,04/01/2024"
242,"2DJX,P,12 19 2025,00408 930,23.3802,4909,04/01/2024"
243,"2DJX,C,12 19 2025,00409 600,43.5093,2587,04/01/2024"
244,"2DJX,P,12 19 2025,00409 600,23.5359,2587,04/01/2024"
245,"2DJX,C,12 19 2025,00409 730,43.4195,2579,04/01/2024"
246,"2DJX,P,12 19 2025,00409 730,23.5661,2579,04/01/2024"
247,"2DJX,C,12 19 2025,00409 740,43.4126,1935,04/01/2024"
248,"2DJX,P,12 19 2025,00409 740,23.5684,1935,04/01/2024"
249,"2DJX,C,12 19 2025,00410 470,42.9084,3092,04/01/2024"
250,"2DJX,P,12 19 2025,00410 470,23.738,3092,04/01/2024"
251,"2DJX,C,06 18 2026,00400 000,45.5148,250,04/01/2024"
252,"2DJX,C,06 18 2026,00420 000,35.6567,250,04/01/2024"
253,"2DJX,C,12 18 2026,00332 330,84.0095,2350,04/01/2024"
254,"2DJX,P,12 18 2026,00332 330,11.9082,2350,04/01/2024"
255,"2DJX,C,12 18 2026,00333 160,83.3778,986,04/01/2024"
256,"2DJX,P,12 18 2026,00333 160,12.014,986,04/01/2024"
257,"2DJX,C,12 18 2026,00339 950,78.4337,870,04/01/2024"
258,"2DJX,P,12 18 2026,00339 950,13.103,870,04/01/2024"
259,"2DJX,C,12 18 2026,00341 950,77.0091,1296,04/01/2024"
260,"2DJX,P,12 18 2026,00341 950,13.4555,1296,04/01/2024"
261,"2DJX,C,12 18 2026,00344 600,75.1271,791,04/01/2024"
262,"2DJX,P,12 18 2026,00344 600,13.9282,791,04/01/2024"
263,"2DJX,C,12 18 2026,00347 610,72.9895,864,04/01/2024"
264,"2DJX,P,12 18 2026,00347 610,14.4651,864,04/01/2024"
265,"2DJX,C,12 18 2026,00348 500,72.3575,1180,04/01/2024"
266,"2DJX,P,12 18 2026,00348 500,14.6239,1180,04/01/2024"
267,"2DJX,C,12 18 2026,00353 120,69.0772,991,04/01/2024"
268,"2DJX,P,12 18 2026,00353 120,15.4486,991,04/01/2024"
269,"2DJX,C,12 18 2026,00353 140,69.063,288,04/01/2024"
270,"2DJX,P,12 18 2026,00353 140,15.4522,288,04/01/2024"
271,"2DJX,C,12 18 2026,00353 860,68.5518,710,04/01/2024"
272,"2DJX,P,12 18 2026,00353 860,15.5808,710,04/01/2024"
273,"2DJX,C,12 18 2026,00354 490,68.1046,3579,04/01/2024"
274,"2DJX,P,12 18 2026,00354 490,15.6933,3579,04/01/2024"
275,"2DJX,C,12 18 2026,00358 900,64.9737,281,04/01/2024"
276,"2DJX,P,12 18 2026,00358 900,16.481,281,04/01/2024"
277,"2DJX,C,12 18 2026,00358 970,64.924,561,04/01/2024"
278,"2DJX,P,12 18 2026,00358 970,16.4935,561,04/01/2024"
279,"2DJX,C,12 18 2026,00359 340,64.6621,749,04/01/2024"
280,"2DJX,P,12 18 2026,00359 340,16.5603,749,04/01/2024"
281,"2DJX,C,12 18 2026,00359 470,64.5702,701,04/01/2024"
282,"2DJX,P,12 18 2026,00359 470,16.5839,701,04/01/2024"
283,"2DJX,C,12 18 2026,00359 670,64.4289,1211,04/01/2024"
284,"2DJX,P,12 18 2026,00359 670,16.6203,1211,04/01/2024"
285,"2DJX,C,12 18 2026,00362 990,62.1316,426,04/01/2024"
286,"2DJX,P,12 18 2026,00362 990,17.2729,426,04/01/2024"
287,"2DJX,C,12 18 2026,00363 350,61.8842,832,04/01/2024"
288,"2DJX,P,12 18 2026,00363 350,17.3455,832,04/01/2024"
289,"2DJX,C,12 18 2026,00366 710,59.5883,550,04/01/2024"
290,"2DJX,P,12 18 2026,00366 710,18.035,550,04/01/2024"
291,"2DJX,C,12 18 2026,00368 270,58.5303,590,04/01/2024"
292,"2DJX,P,12 18 2026,00368 270,18.3631,590,04/01/2024"
293,"2DJX,C,12 18 2026,00368 610,58.3003,3298,04/01/2024"
294,"2DJX,P,12 18 2026,00368 610,18.4353,3298,04/01/2024"
295,"2DJX,C,12 18 2026,00368 740,58.2125,1095,04/01/2024"
296,"2DJX,P,12 18 2026,00368 740,18.463,1095,04/01/2024"
297,"2DJX,C,12 18 2026,00369 240,57.875,727,04/01/2024"
298,"2DJX,P,12 18 2026,00369 240,18.5697,727,04/01/2024"
299,"2DJX,C,12 18 2026,00370 000,57.3629,400,04/01/2024"
300,"2DJX,C,12 18 2026,00372 470,55.7074,575,04/01/2024"
301,"2DJX,P,12 18 2026,00372 470,19.2722,575,04/01/2024"
302,"2DJX,C,12 18 2026,00373 640,54.9279,543,04/01/2024"
303,"2DJX,P,12 18 2026,00373 640,19.5322,543,04/01/2024"
304,"2DJX,C,12 18 2026,00383 900,49.195,573,04/01/2024"
305,"2DJX,P,12 18 2026,00383 900,22.9158,573,04/01/2024"
306,"2DJX,C,12 18 2026,00385 150,48.7117,576,04/01/2024"
307,"2DJX,P,12 18 2026,00385 150,23.5431,576,04/01/2024"
308,"2DJX,C,12 18 2026,00389 670,47.0156,569,04/01/2024"
309,"2DJX,P,12 18 2026,00389 670,25.8633,569,04/01/2024"
310,"2DJX,C,12 18 2026,00391 640,46.301,1836,04/01/2024"
311,"2DJX,P,12 18 2026,00391 640,26.8991,1836,04/01/2024"
312,"2DJX,C,12 18 2026,00404 280,41.9248,2665,04/01/2024"
313,"2DJX,P,12 18 2026,00404 280,33.7541,2665,04/01/2024"
314,"2DJX,C,12 18 2026,00405 320,41.5696,3597,04/01/2024"
315,"2DJX,P,12 18 2026,00405 320,34.3229,3597,04/01/2024"
316,"2DJX,C,12 18 2026,00413 120,39.0152,6265,04/01/2024"
317,"2DJX,P,12 18 2026,00413 120,38.6991,6265,04/01/2024"
318,"2DJX,C,12 18 2026,00420 400,36.7736,3876,04/01/2024"
319,"2DJX,P,12 18 2026,00420 400,42.9261,3876,04/01/2024"
320,"2DJX,P,12 17 2027,00273 000,6.7749,100,04/01/2024"
321,"2DJX,C,12 17 2027,00334 270,85.6658,1026,04/01/2024"
322,"2DJX,P,12 17 2027,00334 270,14.3776,1026,04/01/2024"
323,"2DJX,C,12 17 2027,00343 420,78.9969,831,04/01/2024"
324,"2DJX,P,12 17 2027,00343 420,15.5436,831,04/01/2024"
325,"2DJX,C,12 17 2027,00346 790,76.5823,1304,04/01/2024"
326,"2DJX,P,12 17 2027,00346 790,16.0148,1304,04/01/2024"
327,"2DJX,C,12 17 2027,00356 290,69.7758,793,04/01/2024"
328,"2DJX,P,12 17 2027,00356 290,17.3429,793,04/01/2024"
329,"2DJX,C,12 17 2027,00356 480,69.6397,952,04/01/2024"
330,"2DJX,P,12 17 2027,00356 480,17.3695,952,04/01/2024"
331,"2DJX,C,12 17 2027,00363 300,64.7533,604,04/01/2024"
332,"2DJX,P,12 17 2027,00363 300,18.323,604,04/01/2024"
333,"2DJX,C,12 17 2027,00366 150,62.7148,1364,04/01/2024"
334,"2DJX,P,12 17 2027,00366 150,18.7249,1364,04/01/2024"
335,"2DJX,C,12 17 2027,00372 620,58.3687,1196,04/01/2024"
336,"2DJX,P,12 17 2027,00372 620,19.919,1196,04/01/2024"
337,"2DJX,C,12 17 2027,00373 380,57.8698,918,04/01/2024"
338,"2DJX,P,12 17 2027,00373 380,20.0709,918,04/01/2024"
339,"2DJX,C,12 17 2027,00375 730,56.3337,764,04/01/2024"
340,"2DJX,P,12 17 2027,00375 730,20.547,764,04/01/2024"
341,"2DJX,C,12 17 2027,00375 890,56.2295,2350,04/01/2024"
342,"2DJX,P,12 17 2027,00375 890,20.5798,2350,04/01/2024"
343,"2DJX,C,12 17 2027,00379 490,53.9352,1914,04/01/2024"
344,"2DJX,P,12 17 2027,00379 490,21.3681,1914,04/01/2024"
345,"2DJX,C,12 17 2027,00382 550,52.0355,919,04/01/2024"
346,"2DJX,P,12 17 2027,00382 550,22.0887,919,04/01/2024"
347,"2DJX,C,12 17 2027,00383 360,51.5361,1475,04/01/2024"
348,"2DJX,P,12 17 2027,00383 360,22.2828,1475,04/01/2024"
349,"2DJX,C,12 17 2027,00384 460,51.1911,1183,04/01/2024"
350,"2DJX,P,12 17 2027,00384 460,22.8798,1183,04/01/2024"
351,"2DJX,C,12 17 2027,00385 470,51.0246,2356,04/01/2024"
352,"2DJX,P,12 17 2027,00385 470,23.5782,2356,04/01/2024"
353,"2DJX,C,12 17 2027,00386 410,50.8719,1625,04/01/2024"
354,"2DJX,P,12 17 2027,00386 410,24.2304,1625,04/01/2024"
355,"2DJX,C,12 17 2027,00389 030,50.5184,590,04/01/2024"
356,"2DJX,P,12 17 2027,00389 030,26.1203,590,04/01/2024"
357,"2DJX,C,12 17 2027,00389 130,50.5052,583,04/01/2024"
358,"2DJX,P,12 17 2027,00389 130,26.1927,583,04/01/2024"
359,"2DJX,C,12 17 2027,00391 550,50.1842,730,04/01/2024"
360,"2DJX,P,12 17 2027,00391 550,27.9439,730,04/01/2024"
361,"2DJX,P,12 17 2027,00400 000,34.0587,150,04/01/2024"
362,"2DJX,C,12 17 2027,00420 000,46.4105,600,04/01/2024"
363,"2DJX,C,12 17 2027,00432 610,44.7379,258,04/01/2024"
364,"2DJX,P,12 17 2027,00432 610,57.6567,258,04/01/2024"
365,"2DJX,C,12 17 2027,00433 130,44.6689,257,04/01/2024"
366,"2DJX,P,12 17 2027,00433 130,58.033,257,04/01/2024"
367,"2DJX,C,12 17 2027,00438 070,44.0137,768,04/01/2024"
368,"2DJX,P,12 17 2027,00438 070,61.6078,768,04/01/2024"
369,"2DJX,C,12 15 2028,00366 840,64.8217,279,04/01/2024"
