,Unnamed: 0.1,Unnamed: 0,DATE,SYMBOL,P/C,EXPIRATION,STRIKE-PRICE,MARK-PRICE,OPEN-INTEREST,OPEN,HIGH,LOW,CLOSE,ADJ CLOSE,VOLUME,TIME-TO-EXPIRATION,IV
82,82,82,2024-04-08,2DJX,P,2024-12-20,345.61,4.7859,1824,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0824717033804894
83,83,83,2024-04-08,2DJX,C,2024-12-20,346.52,57.6398,1499,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
84,84,84,2024-04-08,2DJX,P,2024-12-20,346.52,4.8691,1499,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.084924869342499
85,85,85,2024-04-08,2DJX,C,2024-12-20,347.16,57.0818,1512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
86,86,86,2024-04-08,2DJX,P,2024-12-20,347.16,4.9284,1512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.086656433483645
87,87,87,2024-04-08,2DJX,C,2024-12-20,347.61,56.6899,1537,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
88,88,88,2024-04-08,2DJX,P,2024-12-20,347.61,4.9705,1537,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0878775971868357
89,89,89,2024-04-08,2DJX,C,2024-12-20,347.7,56.6116,615,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
90,90,90,2024-04-08,2DJX,P,2024-12-20,347.7,4.979,615,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0881239910650278
91,91,91,2024-04-08,2DJX,C,2024-12-20,348.05,56.307,306,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
92,92,92,2024-04-08,2DJX,P,2024-12-20,348.05,5.012,306,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.089074991130803
93,93,93,2024-04-08,2DJX,C,2024-12-20,349.41,55.1257,763,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
94,94,94,2024-04-08,2DJX,P,2024-12-20,349.41,5.1424,763,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0927972479436336
95,95,95,2024-04-08,2DJX,C,2024-12-20,349.79,54.7962,2131,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
96,96,96,2024-04-08,2DJX,P,2024-12-20,349.79,5.1794,2131,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.093842287276469
97,97,97,2024-04-08,2DJX,C,2024-12-20,350.01,54.6057,1450,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
98,98,98,2024-04-08,2DJX,C,2024-12-20,350.55,54.1471,1405,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
99,99,99,2024-04-08,2DJX,P,2024-12-20,350.55,5.2634,1405,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.0963414639374163
100,100,100,2024-04-08,2DJX,C,2024-12-20,351.74,53.1391,4451,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
101,101,101,2024-04-08,2DJX,P,2024-12-20,351.74,5.4031,4451,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.1005159253231516
102,102,102,2024-04-08,2DJX,C,2024-12-20,351.8,53.0883,7419,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
103,103,103,2024-04-08,2DJX,P,2024-12-20,351.8,5.4102,7419,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.1007256965477747
104,104,104,2024-04-08,2DJX,C,2024-12-20,351.9,53.0038,1491,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
105,105,105,2024-04-08,2DJX,P,2024-12-20,351.9,5.4222,1491,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.101081743173202
106,106,106,2024-04-08,2DJX,C,2024-12-20,353.04,52.0418,5912,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
107,107,107,2024-04-08,2DJX,P,2024-12-20,353.04,5.5597,5912,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.105110854361696
108,108,108,2024-04-08,2DJX,C,2024-12-20,353.21,51.8986,5911,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
109,109,109,2024-04-08,2DJX,P,2024-12-20,353.21,5.5805,5911,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.1057147690720255
110,110,110,2024-04-08,2DJX,C,2024-12-20,355.46,50.009,2922,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
111,111,111,2024-04-08,2DJX,P,2024-12-20,355.46,5.861,2922,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.113695159096613
112,112,112,2024-04-08,2DJX,C,2024-12-20,355.58,49.9082,1474,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
113,113,113,2024-04-08,2DJX,P,2024-12-20,355.58,5.876,1474,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.1141107632615044
114,114,114,2024-04-08,2DJX,C,2024-12-20,356.36,49.2542,1180,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
115,115,115,2024-04-08,2DJX,P,2024-12-20,356.36,5.9743,1180,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.11681615780342
116,116,116,2024-04-08,2DJX,C,2024-12-20,359.14,46.9362,2930,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
117,117,117,2024-04-08,2DJX,P,2024-12-20,359.14,6.3376,2930,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.1265703388794206
118,118,118,2024-04-08,2DJX,C,2024-12-20,359.16,46.9196,3660,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
119,119,119,2024-04-08,2DJX,P,2024-12-20,359.16,6.3403,3660,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.1266415790059066
120,120,120,2024-04-08,2DJX,C,2024-12-20,369.26,38.8863,855,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
121,121,121,2024-04-08,2DJX,P,2024-12-20,369.26,8.0486,855,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.170077596078735
122,122,122,2024-04-08,2DJX,C,2024-12-20,374.8,34.7877,2768,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
123,123,123,2024-04-08,2DJX,P,2024-12-20,374.8,9.2933,2768,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.19898473275783
124,124,124,2024-04-08,2DJX,C,2024-12-20,374.91,34.7075,2768,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
125,125,125,2024-04-08,2DJX,P,2024-12-20,374.91,9.3192,2768,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.199554653725307
126,126,126,2024-04-08,2DJX,C,2024-12-20,375.04,34.6131,6229,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
127,127,127,2024-04-08,2DJX,P,2024-12-20,375.04,9.3502,6229,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.2002374542178957
128,128,128,2024-04-08,2DJX,C,2024-12-20,380.85,30.4927,2719,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
129,129,129,2024-04-08,2DJX,P,2024-12-20,380.85,10.8336,2719,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.2312858636288793
130,130,130,2024-04-08,2DJX,C,2024-12-20,383.34,28.7282,4838,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
131,131,131,2024-04-08,2DJX,P,2024-12-20,383.34,11.4708,4838,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.243422178935968
132,132,132,2024-04-08,2DJX,C,2024-12-20,385.64,27.1003,1342,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
133,133,133,2024-04-08,2DJX,P,2024-12-20,385.64,12.0613,1342,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.254120591978194
134,134,134,2024-04-08,2DJX,C,2024-12-20,394.63,20.7372,2600,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
135,135,135,2024-04-08,2DJX,P,2024-12-20,394.63,14.3691,2600,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.2915533232329652
136,136,136,2024-04-08,2DJX,C,2024-12-20,396.79,19.2084,1297,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
137,137,137,2024-04-08,2DJX,P,2024-12-20,396.79,14.9236,1297,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.299656322939322
138,138,138,2024-04-08,2DJX,C,2024-12-20,397.43,18.7554,1296,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
139,139,139,2024-04-08,2DJX,P,2024-12-20,397.43,15.0879,1296,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.3019989730194204
140,140,140,2024-04-08,2DJX,C,2024-12-20,397.83,18.4723,517,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
141,141,141,2024-04-08,2DJX,P,2024-12-20,397.83,15.1906,517,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.303450277233817
142,142,142,2024-04-08,2DJX,C,2024-12-20,399.0,17.6474,1935,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
143,143,143,2024-04-08,2DJX,P,2024-12-20,399.0,15.4942,1935,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.307703012106188
144,144,144,2024-04-08,2DJX,C,2024-12-20,399.51,17.2913,3092,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
145,145,145,2024-04-08,2DJX,P,2024-12-20,399.51,15.63,3092,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.3095994320394646
146,146,146,2024-04-08,2DJX,C,2024-12-20,399.53,17.2773,5156,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
147,147,147,2024-04-08,2DJX,P,2024-12-20,399.53,15.6353,5156,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.309672954565346
148,148,148,2024-04-08,2DJX,C,2024-12-20,399.73,17.1381,4777,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
149,149,149,2024-04-08,2DJX,P,2024-12-20,399.73,15.689,4777,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.3104207334667284
150,150,150,2024-04-08,2DJX,C,2024-12-20,400.01,16.9454,1000,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
151,151,151,2024-04-08,2DJX,C,2024-12-20,400.7,16.5953,4114,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
152,152,152,2024-04-08,2DJX,P,2024-12-20,400.7,16.0817,4114,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.3166074600859052
153,153,153,2024-04-08,2DJX,C,2024-12-20,402.53,15.6874,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
154,154,154,2024-04-08,2DJX,P,2024-12-20,402.53,16.9389,512,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,2.3301370258926015
155,155,155,2024-04-08,2DJX,C,2024-12-20,420.01,8.2216,825,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,256,0.0
156,156,156,2024-04-08,2DJX,C,2025-01-17,400.0,18.7622,600,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,284,0.0
157,157,157,2024-04-08,2DJX,C,2025-12-19,258.95,143.7951,4024,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
158,158,158,2024-04-08,2DJX,P,2025-12-19,258.95,2.9806,4024,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
159,159,159,2024-04-08,2DJX,C,2025-12-19,291.59,115.3574,983,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
160,160,160,2024-04-08,2DJX,P,2025-12-19,291.59,4.6665,983,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
161,161,161,2024-04-08,2DJX,C,2025-12-19,299.21,108.8666,1285,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
162,162,162,2024-04-08,2DJX,P,2025-12-19,299.21,5.2082,1285,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
163,163,163,2024-04-08,2DJX,P,2025-12-19,310.01,6.1047,600,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
164,164,164,2024-04-08,2DJX,C,2025-12-19,322.58,89.4859,822,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
165,165,165,2024-04-08,2DJX,P,2025-12-19,322.58,7.3956,822,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
166,166,166,2024-04-08,2DJX,C,2025-12-19,330.07,83.3524,596,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
167,167,167,2024-04-08,2DJX,P,2025-12-19,330.07,8.1747,596,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
168,168,168,2024-04-08,2DJX,C,2025-12-19,331.06,82.5946,592,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
169,169,169,2024-04-08,2DJX,P,2025-12-19,331.06,8.3305,592,38916.421875,39013.199219,38857.699219,38892.800781,38892.800781,291460000,620,0.0
